date,pubHoliday,Bundesland
2020-01-05,1,Deutschland
2020-01-12,0.1875,Deutschland
2020-01-19,0,Deutschland
2020-01-26,0,Deutschland
2020-02-02,0,Deutschland
2020-02-09,0,Deutschland
2020-02-16,0,Deutschland
2020-02-23,0,Deutschland
2020-03-01,0,Deutschland
2020-03-08,0.0625,Deutschland
2020-03-15,0,Deutschland
2020-03-22,0,Deutschland
2020-03-29,0,Deutschland
2020-04-05,0,Deutschland
2020-04-12,1.0625,Deutschland
2020-04-19,1,Deutschland
2020-04-26,0,Deutschland
2020-05-03,1,Deutschland
2020-05-10,0.0625,Deutschland
2020-05-17,0,Deutschland
2020-05-24,1,Deutschland
2020-05-31,0.0625,Deutschland
2020-06-07,1,Deutschland
2020-06-14,0.375,Deutschland
2020-06-21,0,Deutschland
2020-06-28,0,Deutschland
2020-07-05,0,Deutschland
2020-07-12,0,Deutschland
2020-07-19,0,Deutschland
2020-07-26,0,Deutschland
2020-08-02,0,Deutschland
2020-08-09,0.0625,Deutschland
2020-08-16,0.125,Deutschland
2020-08-23,0,Deutschland
2020-08-30,0,Deutschland
2020-09-06,0,Deutschland
2020-09-13,0,Deutschland
2020-09-20,0.0625,Deutschland
2020-09-27,0,Deutschland
2020-10-04,1,Deutschland
2020-10-11,0,Deutschland
2020-10-18,0,Deutschland
2020-10-25,0,Deutschland
2020-11-01,0.875,Deutschland
2020-11-08,0,Deutschland
2020-11-15,0,Deutschland
2020-11-22,0.0625,Deutschland
2020-11-29,0,Deutschland
2020-12-06,0,Deutschland
2020-12-13,0,Deutschland
2020-12-20,0,Deutschland
2020-12-27,2,Deutschland
2020-12-31,0,Deutschland
