date,schoolVacation
2020-01-05,4.0625
2020-01-12,0.6875
2020-01-19,0
2020-01-26,0
2020-02-02,0.0625
2020-02-09,1
2020-02-16,1.5
2020-02-23,1.4375
2020-03-01,0.4375
2020-03-08,0.4375
2020-03-15,0.3125
2020-03-22,0
2020-03-29,0.125
2020-04-05,1.3125
2020-04-12,5.625
2020-04-19,4.3125
2020-04-26,0.3125
2020-05-03,0
2020-05-10,0.0625
2020-05-17,0
2020-05-24,1.1875
2020-05-31,0.375
2020-06-07,0.8125
2020-06-14,0.75
2020-06-21,0
2020-06-28,1.1875
2020-07-05,2.625
2020-07-12,3.9375
2020-07-19,4.6875
2020-07-26,6.125
2020-08-02,6.75
2020-08-09,6.0625
2020-08-16,4.125
2020-08-23,3.0625
2020-08-30,2.125
2020-09-06,0.875
2020-09-13,0.4375
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,1.6875
2020-10-18,4.25
2020-10-25,3.6875
2020-11-01,1.1875
2020-11-08,0.3125
2020-11-15,0
2020-11-22,0.0625
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0.875
2020-12-31,0.5
